Year,Month,Region,Number of Households,Avg Electricity Consumption per Household (kWh)
2015,1,Busan,1558225.0,260.0
2015,2,Busan,1559049.0,256.0
2015,3,Busan,1559935.0,226.0
2015,4,Busan,1561625.0,235.0
2015,5,Busan,1562685.0,216.0
2015,6,Busan,1568058.0,215.0
2015,7,Busan,1570868.0,213.0
2015,8,Busan,1573378.0,267.0
2015,9,Busan,1575578.0,229.0
2015,10,Busan,1575561.0,209.0
2015,11,Busan,1576655.0,223.0
2015,12,Busan,1577422.0,232.0
2016,1,Busan,1578035.0,252.0
2016,2,Busan,1578670.0,259.0
2016,3,Busan,1581217.0,229.0
2016,4,Busan,1583294.0,231.0
2016,5,Busan,1583438.0,213.0
2016,6,Busan,1590708.0,213.0
2016,7,Busan,1592263.0,225.0
2016,8,Busan,1592684.0,292.0
2016,9,Busan,1592880.0,246.0
2016,10,Busan,1593916.0,211.0
2016,11,Busan,1597005.0,221.0
2016,12,Busan,1598617.0,229.0
2017,1,Busan,1601582.0,245.0
2017,2,Busan,1601878.0,250.0
2017,3,Busan,1607081.0,215.0
2017,4,Busan,1608674.0,228.0
2017,5,Busan,1612704.0,207.0
2017,6,Busan,1615405.0,207.0
2017,7,Busan,1616132.0,235.0
2017,8,Busan,1617783.0,286.0
2017,9,Busan,1622926.0,239.0
2017,10,Busan,1624934.0,206.0
2017,11,Busan,1627778.0,216.0
2017,12,Busan,1629481.0,230.0
2018,1,Busan,1630028.0,251.0
2018,2,Busan,1632549.0,254.0
2018,3,Busan,1634902.0,217.0
2018,4,Busan,1636437.0,224.0
2018,5,Busan,1640316.0,209.0
2018,6,Busan,1641703.0,212.0
2018,7,Busan,1642751.0,239.0
2018,8,Busan,1646890.0,334.0
2018,9,Busan,1649343.0,251.0
2018,10,Busan,1649959.0,206.0
2018,11,Busan,1655757.0,213.0
2018,12,Busan,1656282.0,225.0
2019,1,Busan,1658875.0,246.0
2019,2,Busan,1660736.0,244.0
2019,3,Busan,1662504.0,210.0
2019,4,Busan,1666477.0,221.0
2019,5,Busan,1668722.0,205.0
2019,6,Busan,1673460.0,206.0
2019,7,Busan,1678972.0,212.0
2019,8,Busan,1678813.0,291.0
2019,9,Busan,1679329.0,265.0
2019,10,Busan,1682703.0,214.0
2019,11,Busan,1688225.0,213.0
2019,12,Busan,1690356.0,222.0
2020,1,Busan,1692810.0,240.0
2020,2,Busan,1695814.0,243.0
2020,3,Busan,1697638.0,227.0
2020,4,Busan,1701204.0,231.0
2020,5,Busan,1701418.0,214.0
2020,6,Busan,1704717.0,216.0
2020,7,Busan,1705416.0,221.0
2020,8,Busan,1704536.0,277.0
2020,9,Busan,1707813.0,300.0
2020,10,Busan,1707535.0,213.0
2020,11,Busan,1708748.0,219.0
2020,12,Busan,1714841.0,231.0
2021,1,Busan,1716952.0,259.0
2021,2,Busan,1717002.0,250.0
2021,3,Busan,1719544.0,215.0
2021,4,Busan,1721700.0,223.0
2021,5,Busan,1726843.0,209.0
2021,6,Busan,1728096.0,217.0
2021,7,Busan,1731034.0,242.0
2021,8,Busan,1730634.0,323.0
2021,9,Busan,1730895.0,268.0
2021,10,Busan,1733848.0,221.0
2021,11,Busan,1736148.0,219.0
2021,12,Busan,1738570.0,225.0
2022,1,Busan,1737741.0,249.0
2022,2,Busan,1717997.0,251.0
2022,3,Busan,1722026.0,221.0
2022,4,Busan,1726489.0,226.0
2022,5,Busan,1728411.0,206.0
2022,6,Busan,1730594.0,212.0
2022,7,Busan,1733481.0,261.0
2022,8,Busan,1737097.0,319.0
2022,9,Busan,1736692.0,269.0
2022,10,Busan,1736686.0,214.0
2022,11,Busan,1737869.0,213.0
2022,12,Busan,1739044.0,223.0
2023,1,Busan,1740119.0,248.0
2023,2,Busan,1742852.0,245.0
2023,3,Busan,1743998.0,208.0
2023,4,Busan,1746937.0,216.0
2023,5,Busan,1752949.0,206.0
2023,6,Busan,1756039.0,215.0
2023,7,Busan,1759506.0,243.0
2023,8,Busan,1763212.0,328.0
2023,9,Busan,1764093.0,300.0
2023,10,Busan,1764332.0,222.0
2023,11,Busan,1766209.0,211.0
2023,12,Busan,1766819.0,223.0
2024,1,Busan,1768983.0,243.0
2024,2,Busan,1772699.0,242.0
2024,3,Busan,1776944.0,219.0
2024,4,Busan,1777635.0,220.0
2024,5,Busan,1778034.0,204.0
2024,6,Busan,1780456.0,213.0
2024,7,Busan,1781988.0,250.0
2024,8,Busan,1783171.0,359.0
2024,9,Busan,1784735.0,355.0
2024,10,Busan,1785593.0,251.0
2024,11,Busan,1787503.0,214.0
2024,12,Busan,1788413.0,220.0
2015,1,Daegu,1096699.0,253.0
2015,2,Daegu,1097876.0,247.0
2015,3,Daegu,1098950.0,220.0
2015,4,Daegu,1102292.0,227.0
2015,5,Daegu,1103860.0,209.0
2015,6,Daegu,1106521.0,212.0
2015,7,Daegu,1108467.0,212.0
