Year,Month,Region,Number of Households,Avg Electricity Consumption per Household (kWh),Number of Tropical Nights,Number of Heat Wave Days,Number of Cold Wave Days,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Avg Cloud Cover (1/10),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Supercool Temp (Celsius),Avg Ground Temp (Celsius),Avg Gas Supply per Household (ton)
2016,1,Busan,1578035.0,252.0,0.0,0.0,0.0,3.1,7.6,-0.3,1014.1,1022.8,4.0,-7.3,49,59.5,70.0,3.5,3.3,66.83,286.39,-3.5,2.5,0.1532351652529887
2016,2,Busan,1578670.0,259.0,0.0,0.0,0.0,5.5,10.4,1.3,1014.4,1023.0,4.7,-5.5,48,63.7,77.1,3.7,3.4,73.05,381.9,-1.9,5.9,0.12806250578018205
2016,3,Busan,1581217.0,229.0,0.0,0.0,0.0,9.9,14.4,6.3,1012.4,1020.9,7.8,2.1,61,133.5,79.7,3.2,4.7,59.08,447.31,2.9,10.7,0.1283147215088125
2016,4,Busan,1583294.0,231.0,0.0,0.0,0.0,15.1,19.2,11.9,1005.6,1013.8,11.0,7.8,66,198.5,100.8,3.2,5.2,54.53,495.68,8.7,16.5,0.08816873429697832
2016,5,Busan,1583438.0,213.0,0.0,0.0,0.0,19.3,23.7,15.7,1004.0,1012.1,14.1,11.6,64,108.8,140.2,3.4,4.6,61.17,611.92,11.2,22.2,0.08480753777539758
2016,6,Busan,1590708.0,213.0,0.0,0.0,0.0,21.9,25.3,19.5,1000.4,1008.3,21.0,18.0,80,115.2,115.5,2.9,6.7,39.03,470.74,16.9,25.9,0.08521910432335791
2016,7,Busan,1592263.0,225.0,8.0,0.0,0.0,25.3,28.5,23.0,1000.9,1008.8,27.1,22.3,85,188.8,151.3,3.3,6.2,53.38,548.38,21.5,29.4,0.10669738918759024
2016,8,Busan,1592684.0,292.0,22.0,9.0,0.0,27.7,31.8,24.6,997.8,1005.6,26.8,21.9,72,141.5,200.1,3.0,3.6,70.62,609.31,22.6,32.4,0.09834203897320497
2016,9,Busan,1592880.0,246.0,0.0,0.0,0.0,22.9,26.3,20.7,1005.0,1013.0,22.2,18.9,80,407.9,100.5,2.6,7.2,35.54,329.17,18.6,24.1,0.0972309087941339
2016,10,Busan,1593916.0,211.0,0.0,0.0,0.0,18.7,22.3,16.1,1010.0,1018.1,16.0,13.5,73,182.4,98.9,2.7,6.5,44.46,313.38,13.0,18.7,0.11812178684447612
