연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,1.7,0.5,0,0,0,0,0,0,0,0,0,0.3,2.5,
최근 10년,1.5,0.4,0,0,0,0,0,0,0,0,0,0.6,2.5,
최근  5년,1.2,0,0,0,0,0,0,0,0,0,0,1.2,2.4,
2015,0,1,0,0,0,0,0,0,0,0,0,0,1,8
2016,3,0,0,0,0,0,0,0,0,0,0,0,3,4
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2018,6,3,0,0,0,0,0,0,0,0,0,0,9,1
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2020,0,0,0,0,0,0,0,0,0,0,0,1,1,7
2021,4,0,0,0,0,0,0,0,0,0,0,2,6,2
2022,0,0,0,0,0,0,0,0,0,0,0,1,1,6
2023,1,0,0,0,0,0,0,0,0,0,0,2,3,3
2024,1,0,0,0,0,0,0,0,0,0,0,0,1,5
