연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,1.8,0.6,0,0,0,0,0,0,0,0,0,0.7,3.1,
최근 10년,2.1,0.4,0,0,0,0,0,0,0,0,0,1.7,4.2,
최근  5년,1.6,0,0,0,0,0,0,0,0,0,0,2.8,4.4,
2015,0,1,0,0,0,0,0,0,0,0,0,0,1,10
2016,5,0,0,0,0,0,0,0,0,0,0,0,5,4
2017,1,0,0,0,0,0,0,0,0,0,0,2,3,6
2018,7,3,0,0,0,0,0,0,0,0,0,1,11,1
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2020,0,0,0,0,0,0,0,0,0,0,0,2,2,7
2021,5,0,0,0,0,0,0,0,0,0,0,3,8,2
2022,0,0,0,0,0,0,0,0,0,0,0,4,4,5
2023,2,0,0,0,0,0,0,0,0,0,0,5,7,3
2024,1,0,0,0,0,0,0,0,0,0,0,0,1,9
2025,1,0,0,0,0,0,0,0,0,0,0,0,1,8
