연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,0.8,3,0.1,0,0,0,3.9,
2015,0,0,0,0,0,0,0,1,0,0,0,0,1,9
2016,0,0,0,0,0,0,0,9,0,0,0,0,9,3
2017,0,0,0,0,0,0,0,6,0,0,0,0,6,5
2018,0,0,0,0,0,0,9,9,0,0,0,0,18,2
2019,0,0,0,0,0,0,0,3,0,0,0,0,3,7
2020,0,0,0,0,0,0,0,4,0,0,0,0,4,6
2021,0,0,0,0,0,0,0,3,0,0,0,0,3,7
2022,0,0,0,0,0,0,0,1,0,0,0,0,1,9
2023,0,0,0,0,0,0,1,8,0,0,0,0,9,3
2024,0,0,0,0,0,0,0,15,7,0,0,0,22,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
