연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,,,,,,,,,,,,,,
2015,0,0,0,0,0,0,8,2,0,0,0,0,10,9
2016,0,0,0,0,0,0,5,9,0,0,0,0,14,7
2017,0,0,0,0,0,0,12,7,0,0,0,0,19,5
2018,0,0,0,0,0,0,17,9,0,0,0,0,26,3
2019,0,0,0,0,0,0,8,13,1,0,0,0,22,4
2020,0,0,0,0,0,0,1,15,0,0,0,0,16,6
2021,0,0,0,0,0,0,4,5,0,0,0,0,9,10
2022,0,0,0,0,0,3,10,15,0,0,0,0,28,2
2023,0,0,0,0,0,0,3,8,0,0,0,0,11,8
2024,0,0,0,0,0,0,16,15,5,0,0,0,36,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
