연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,2.9,6.3,0,0,0,0,9.2,
2015,0,0,0,0,0,0,3,8,0,0,0,0,11,9
2016,0,0,0,0,0,0,9,24,0,0,0,0,33,2
2017,0,0,0,0,0,0,8,10,0,0,0,0,18,6
2018,0,0,0,0,0,0,11,16,0,0,0,0,27,3
2019,0,0,0,0,0,0,4,11,1,0,0,0,16,7
2020,0,0,0,0,0,0,0,7,0,0,0,0,7,10
2021,0,0,0,0,0,0,19,3,0,0,0,0,22,5
2022,0,0,0,0,0,0,7,8,0,0,0,0,15,8
2023,0,0,0,0,0,0,7,14,1,0,0,0,22,4
2024,0,0,0,0,0,0,11,25,10,0,0,0,46,1
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
