연월,서울,인천,경기,강원,충청,전북,광주,대구,부산,제주
2016-01,1110948,539952,884621,77545,275615,230249,220168,355646,553342,0
2016-02,911323,441262,769085,63447,231933,178604,200121,299373,462628,0
2016-03,718859,387889,682050,55284,197986,193081,210464,271042,464287,0
2016-04,417299,288915,453910,33572,106757,137068,157493,208573,319444,0
2016-05,354428,278423,375331,44665,119412,153391,145237,198135,307294,0
2016-06,351269,367304,401342,41104,109522,149399,138729,194935,310203,0
2016-07,402772,445710,376995,51173,107751,179305,146867,185884,388765,0
2016-08,421003,427250,418494,48136,99393,179948,121880,191966,358416,0
2016-09,359315,356851,362632,28905,100447,165998,114869,186283,354410,0
2016-10,468053,485370,401488,39585,134042,193100,140243,209424,430838,0
2016-11,824234,486448,710593,52733,176022,234535,186336,285149,489707,0
2016-12,984626,488382,838634,65910,224606,217313,209640,333217,532107,0
2017-01,1070977,483790,921836,72364,257190,241874,218458,346353,556951,0
2017-02,963920,442495,831264,67973,240413,210613,202510,305999,505361,0
2017-03,863948,372899,717838,71074,198235,212248,200890,279501,488378,0
2017-04,546641,284591,461616,53225,146178,163593,153190,210139,384542,0
2017-05,522354,296970,331790,39894,124062,157116,116648,179248,290538,0
2017-06,566067,318623,362232,58615,105837,168802,149361,183787,305671,0
2017-07,569322,450168,403612,69542,113655,195669,153278,179711,344385,0
2017-08,503817,377675,393350,59144,114116,165212,141512,169564,335458,0
2017-09,401011,238982,378779,59698,89995,135108,145685,165858,356617,0
2017-10,472761,211570,416721,62474,121888,145993,158992,180183,369238,0
2017-11,881089,408925,759460,102283,211722,217457,218816,253619,544965,0
2017-12,1198825,526482,1030773,150852,285706,314524,270485,354053,784391,0
2018-01,1306019,525265,1096713,143020,316138,326679,282954,385199,817411,0
2018-02,1083940,426179,919659,118700,267299,266063,236396,317371,702277,0
2018-03,861854,397067,787952,107502,208521,259050,245327,284204,682549,0
2018-04,623094,431445,613685,79253,165043,214129,212027,235828,541474,0
2018-05,545501,373293,508480,80185,132969,204443,172675,203976,511529,0
